SNo,Reporting Date,Region,New(Last 24 Hours) - Suspected Cases at Hospitals,Cumulative - Suspected Cases at Hospitals,Cumulative Tests Performed in Last 24 Hours,Cumulative Tests Performed,Cumulative Test Positive Cases,Still Admitted,Discharged,Expired
110,22/3/2020,GB,0,310,0,315,55,55,0,0
111,22/3/2020,Mobile Lab Taftan Balochistan,0,0,0,0,0,0,0,0
112,23/3/2020,ICT,10,198,0,404,15,13,2,0
113,23/3/2020,Punjab,11,257,0,1436,225,225,0,0
114,23/3/2020,Sindh,0,232,0,1512,333,328,4,1
115,23/3/2020,KP,41,196,0,305,31,28,0,3
116,23/3/2020,KPTD,0,0,0,0,0,0,0,0
117,23/3/2020,Balochistan,25,1405,0,1405,108,107,0,1
118,23/3/2020,AJK,2,44,0,44,1,1,0,0
119,23/3/2020,GB,0,310,0,338,71,71,0,0
120,23/3/2020,Mobile Lab Taftan Balochistan,0,0,0,0,0,0,0,0
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
